Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          79.21,79.21266117,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          59.63,59.6289738,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          76.70,76.70129407,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         160.38,160.3769181,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
         113.27,113.2668581,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          25.19,25.1943623,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          60.13,60.12748034,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          41.89,41.8921224,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          41.42,41.41969555,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         159.53,159.5318996,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          35.45,35.44837022,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          43.19,43.19426124,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
          11.24,11.24370334,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          42.80,42.80191344,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         180.78,180.7825985,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          40.30,40.29681531,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          89.31,89.3119832,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          43.21,43.21030332,Expenditure per head,2,2,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
