Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
         264.48,264.4848866,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         180.81,180.8134394,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          73.32,73.32374507,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         196.24,196.2429608,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          55.72,55.71882797,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         178.65,178.6549383,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         281.57,281.5683292,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         120.02,120.022082,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
          80.76,80.76046996,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          10.99,10.99128479,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          30.24,30.2391192,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          57.84,57.84100146,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           7.93,7.929022451,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         441.30,441.3011338,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"       3,231.07",3231.07013,Expenditure per head,2,2,,Powys Teaching Health Board,7A7,2,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
          82.19,82.1900084,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         281.38,281.3801241,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          36.94,36.9370392,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         151.50,151.5021703,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
         322.17,322.1718774,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
          82.72,82.72060533,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
         148.59,148.5928405,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
          76.61,76.61137741,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
          14.53,14.53289422,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
         269.34,269.3416071,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         178.62,178.6249617,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          54.59,54.58940222,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         228.53,228.5275966,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          81.03,81.02999724,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         157.95,157.9492846,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         313.20,313.199774,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         159.69,159.694787,Expenditure per head,2,2,,Hywel Dda University Health Board,7A2,3,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
