HealthBoard,FinancialYear,Category breakdown,MetricType,Value
Wales,2013-14,healthy_individuals_includes_screening_total,Expenditure,114629.2895
Wales,2013-14,social_care_needs_total,Expenditure,49110.48601
Wales,2013-14,other_total,Expenditure,767116.7901
Wales,2013-14,general_medical_services,Expenditure,334185.5332
Wales,2013-14,open_access,Expenditure,82267.64919
Wales,2013-14,continuing_care,Expenditure,116502.0975
Wales,2013-14,other_phw_functions,Expenditure,70814.0
Wales,2013-14,other_expenditure,Expenditure,163347.5102
Wales,2014-15,total,Expenditure,5802109.506
Wales,2014-15,infectious_diseases_total,Expenditure,76806.26301
Wales,2014-15,cancers_tumours_total,Expenditure,409398.3385
Wales,2014-15,blood_disorders_total,Expenditure,49489.54631
Wales,2014-15,endocrine_nutritional_metabolic_problems_total,Expenditure,215734.1296
Wales,2014-15,diabetes,Expenditure,98401.22926
Wales,2014-15,other_endocrine_nutritional_and_metabolic_problems,Expenditure,117332.9003
Wales,2014-15,mental_health_problems_total,Expenditure,663251.2489
Wales,2014-15,general_mental_illness,Expenditure,305874.2562
Wales,2014-15,elderly_mental_illness,Expenditure,201672.6569
Wales,2014-15,child_adolescent_mental_health_services,Expenditure,41320.27949
Wales,2014-15,other_mental_health_problems,Expenditure,114384.0562
Wales,2014-15,learning_disability_problems_total,Expenditure,131554.9373
Wales,2014-15,neurological_system_problems_total,Expenditure,283726.7162
Wales,2014-15,eyevision_problems_total,Expenditure,134912.8334
Wales,2014-15,hearing_problems_total,Expenditure,28276.26292
Wales,2014-15,circulation_problems_total,Expenditure,445582.4601
Wales,2014-15,coronary_heart_disease,Expenditure,114570.175
Wales,2014-15,cerebrovascular_disease,Expenditure,83862.35441
Wales,2014-15,other_problems_of_circulation,Expenditure,247149.9307
Wales,2014-15,respiratory_problems_total,Expenditure,387025.3669
Wales,2014-15,dental_problems_total,Expenditure,184104.132
Wales,2014-15,gastro_intestinal_problems_total,Expenditure,339304.286
Wales,2014-15,skin_problems_total,Expenditure,132988.9252
Wales,2014-15,musculo_skeletal_system_problems_exc_trauma_total,Expenditure,352709.3311
Wales,2014-15,trauma_injuries_inc_burns_total,Expenditure,416919.1662
Wales,2014-15,genito_urinary_system_disorders_exc_infertility_total,Expenditure,293973.038
Wales,2014-15,genital_tract_problems,Expenditure,59623.41027
Wales,2014-15,renal_problems,Expenditure,86437.64375
Wales,2014-15,chronic_renal_failure,Expenditure,0.0
Wales,2014-15,sexually_transmitted_infections,Expenditure,16785.50233
Wales,2014-15,other_problems_of_the_genito_urinary_system,Expenditure,131126.4816
Wales,2014-15,maternity_reproductive_health_total,Expenditure,192323.8153
Wales,2014-15,neonates_total,Expenditure,48981.84435
Wales,2014-15,poisoning_total,Expenditure,65417.76261
Wales,2014-15,healthy_individuals_includes_screening_total,Expenditure,109167.5423
Wales,2014-15,social_care_needs_total,Expenditure,50022.90434
Wales,2014-15,other_total,Expenditure,790438.6559
Wales,2014-15,general_medical_services,Expenditure,361690.2595
Wales,2014-15,open_access,Expenditure,80733.39814
Wales,2014-15,continuing_care,Expenditure,123337.8764
Wales,2014-15,other_phw_functions,Expenditure,73463.0
Wales,2014-15,other_expenditure,Expenditure,151214.1218
Wales,2015-16,total,Expenditure,6117680.829
Wales,2015-16,infectious_diseases_total,Expenditure,84787.7579
Wales,2015-16,cancers_tumours_total,Expenditure,437341.4286
Wales,2015-16,blood_disorders_total,Expenditure,55027.70652
Wales,2015-16,endocrine_nutritional_metabolic_problems_total,Expenditure,222627.5373
Wales,2015-16,diabetes,Expenditure,103302.4632
Wales,2015-16,other_endocrine_nutritional_and_metabolic_problems,Expenditure,144831.6345
Wales,2015-16,mental_health_problems_total,Expenditure,679989.5821
Wales,2015-16,general_mental_illness,Expenditure,310310.4645
Wales,2015-16,elderly_mental_illness,Expenditure,210034.6559
Wales,2015-16,child_adolescent_mental_health_services,Expenditure,46373.23096
Wales,2015-16,other_mental_health_problems,Expenditure,113271.2308
Wales,2015-16,learning_disability_problems_total,Expenditure,135505.4621
Wales,2015-16,neurological_system_problems_total,Expenditure,315184.2608
Wales,2015-16,eyevision_problems_total,Expenditure,142052.5667
