Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           8.7,8.71439857,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           3.7,3.71462324,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
           2.5,2.49949604,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
           0.3,0.340174752,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
           0.9,0.935885573,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
           1.8,1.790149985,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           0.2,0.245399268,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
          13.7,13.65804876,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
         100.0,100,Per cent of total,3,3,,Powys Teaching Health Board,7A7,2,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
           2.5,2.493732792,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
           8.5,8.537374021,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
           1.1,1.120709289,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
           4.6,4.596737942,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
           9.8,9.77503946,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
           2.5,2.50983167,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
           4.5,4.508465764,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
           2.3,2.324471159,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
           0.4,0.44094356,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
           8.2,8.172112535,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
           5.4,5.419672452,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
           1.7,1.65630087,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
           6.9,6.933771788,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
           2.5,2.458536812,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
           4.8,4.792350289,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
           9.5,9.502816243,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
           4.8,4.8453107,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
           2.8,2.82843621,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
           0.6,0.605807363,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
           0.9,0.892352839,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
           2.0,2.044965997,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
           0.9,0.943745414,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
          12.6,12.59651483,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
         100.0,100,Per cent of total,3,3,,Hywel Dda University Health Board,7A2,3,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
