Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
"       4,798",4797.839198,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0,0,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           7,6.538112316,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
"       7,941",7941.369621,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
"      21,680",21680.20891,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
         311,311.2952199,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
"       9,886",9885.67284,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
"       5,941",5941.478474,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
"      21,600",21600.33571,Expenditure (£000),1,1,,Powys Teaching Health Board,7A7,2,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
"      27,847",27846.73319,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
"      30,923",30922.77669,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
"      61,418",61418.48169,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
"      34,093",34092.85869,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
"      14,998",14998.43317,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
"      14,465",14464.56376,Expenditure (£000),1,1,,Hywel Dda University Health Board,7A2,3,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
